,name,location,rent,deposit,area,type,highlights,description,owner
29,Gini Belvista,"2 BHK Flat for rent in Dhanori, Pune","₹22,000",+ Deposit 2 months rent,715 sqft,2 BHK ,"['2 Baths', 'Full Power Backup']",Explore this amicable gini belvista of dhanori in pune ! Live in a 2 bhk flat for rent in dhanori. This flat consists of 2 bathrooms & 2 balconies build in 715 sq.Ft. Carpet area. The flat is built on 715 sq.Ft. Area. Ease of access to 1 covered parking within society. This flat is situated at 5th in a tower with 9 floors. This is a 1-5 years old society. This is an unfurnished flat. Property i...,Akruti Realty 
30,Windsor Swapna Sankul,"1 BHK Flat for rent in Lohegaon, Pune","₹13,001",+ Deposit 2 months rent,515 sqft,1 BHK ,"['1 Baths', 'East Facing']","This lovely 1 bhk apartment for rent in dhanori is available in one of pune's most popular projects, swapna sankul society. Property has 515 sq.Ft. Carpet area with 1 bathroom & 1 balcony attached. The flat consists of 1 bedroom, built on 515 sq.Ft. Society provides 1 covered parking with this flat. The building has a total of 11 floors and this property is situated on 6th floor. Property is 1-...",Akruti Realty 
31,Swapna Sankul Society,"2 BHK Flat for rent in Dhanori, Pune","₹16,000",+ Deposit 2 months rent,715 sqft,2 BHK ,"['2 Baths', 'Full Power Backup']","Find this 2 bhk apartment for rent in dhanori, pune. This 2 bhk apartment in swapna sankul society is situated in pune. This 2 bhk flat comes with 2 bathrooms set in 715 sq.Ft. Carpet usable area. Flat is constructed on 715 sq.Ft. You get an additional space of study room. 1 covered parking available. Placed on 5th of 12 floor in 1-5 years old tower. This property is semi-Furnished. Equipped wi...",Akruti Realty 
32,Balaji Mesmero,"2 BHK Flat for rent in Lohegaon, Pune","₹27,000",+ Deposit 3 months rent,750 sqft,2 BHK ,"['2 Baths', 'East Facing']","This lovely 2 bhk apartment for rent in lohegaon is available in one of pune's most popular projects, balaji mesmero. This flat consists of 2 bathrooms & 2 balconies in 750 sq.Ft. Carpet area. The flat is built on 750 sq.Ft. Area. This flat is situated at 4th in a tower with 13 floors. This is a 1-5 years old society. It is a furnished property. Inclusive of 4 light, 3 fan, 2 bed, 3 wardrobe, 2...",Akruti Realty 
33,Tranquil Park,"2 BHK Flat for rent in Lohegaon, Pune","₹22,000",+ Deposit 2 months rent,905 sqft,2 BHK ,"['2 Baths', 'East Facing']","Tranquil park is the most preferred destination for renting flats in lohegaon, pune. A 2 bhk flat is now available for rent here. Don't miss to be a part of this community. This 2 bhk flat comes with 2 bathrooms set in 665 sq.Ft. Carpet usable area. Flat is constructed on 905 sq.Ft. 1 covered parking available. Placed on 8th of 10 floor in 1-5 years old tower. This is a semi-Furnished flat. Fur...",Akruti Realty 
34,Shriram Sai Shanti Park,"1 BHK Flat for rent in Lohegaon, Pune","₹15,000",+ Deposit 3 months rent,670 sqft,1 BHK ,"['1 Baths', 'East Facing']","This lovely 1 bhk apartment for rent in lohegaon is available in one of pune's most popular projects, shriram sai shanti park. This 1 bhk flat comes with 1 bathroom set in 590 sq.Ft. Super built-Up usable area. The flat consists of 1 bedroom, built on 670 sq.Ft. Society provides 1 covered parking with this flat. The building has a total of 9 floors and this property is situated on 6th floor. Pr...",Akruti Realty 
35,Amarnath Paramount Smart City,"2 BHK Flat for rent in Lohegaon, Pune","₹23,000",+ Deposit 3 months rent,763 sqft,2 BHK ,"['2 Baths', 'Gated Society']","This lovely 2 bhk apartment for rent in lohegaon is available in one of pune's most popular projects, amarnath paramount smart city. This flat consists of 2 bathrooms & 2 balconies build in 763 sq.Ft. Carpet area. The flat is built on 763 sq.Ft. Area. Ease of access to 1 covered parking within society. This flat is situated at 5th in a tower with 9 floors. This is a 1-5 years old society. This ...",Akruti Realty 
36,Lunkad Gold Coast,"3 BHK Flat for rent in Viman Nagar, Pune","₹42,000","+ Deposit ₹100,000","1,360 sqft",3 BHK ,"['2 Baths', 'Full Power Backup']","This lovely 3 bhk apartment for rent in viman nagar is available in one of pune's most popular projects, lunkad gold coast. This 3 bhk flat comes with 2 bathrooms set in 1350 sq.Ft. Super built-Up usable area. Flat is constructed on 1360 sq.Ft. You get an additional space of others. 2 covered parking available. Placed on 2nd of 5 floor in 5-10 years old tower. It is a semi-Furnished property. I...",Golden Properties 
37,Supreme Esteban,"4 BHK Flat for rent in Koregaon Park, Pune",₹1.9 Lac,+ Deposit 6 months rent,"4,250 sqft",4 BHK ,"['4 Baths', 'East Facing']",Residential apartment 3 bhk fully furnished for rent with covered car parking for 65000,Gaj Kesari Real Estates 
38,Lunkad Gold Coast,"2 BHK Flat for rent in Viman Nagar, Pune","₹36,000",+ Deposit 3 months rent,"1,300 sqft",2 BHK ,"['3 Baths', 'Full Power Backup']","The flat is an extremely spacious 2 bhk in lunkad goldcoast. The flat is actually a 3bhk with 1 bedroom shut. It has 2 bedrooms, 3 bathrooms, 1 balcony and 1 dry balcony. It is semi-Furnished. Kitchen has cabinets and chimney. Both bedrooms have ac and wardrobe/cupboard. The flat will be thoroughly cleaned. The flat has amazing natural lighting and is well ventilated.",DAMANIA PROPERTIES 
39,on request,"1 BHK Flat for rent in Shishak Society, Pune","₹13,000","+ Deposit ₹26,000",650 sqft,1 BHK ,"['2 Baths', 'East Facing']","A spacious 1 bhk flat for rent is available in shishak society in on request, pune. This flat consists of 2 bathrooms & 1 balcony in 650 sq.Ft. Super built-Up area. The flat consists of 1 bedroom, built on 650 sq.Ft. Society provides 1 covered parking with this flat & the option for 1 open parking is also available. The building has a total of 5 floors and this property is situated on 2nd floor...",Tulsi Properties 
40,harsha residency,"2 BHK Flat for rent in Lonkar Nagar, Pune","₹15,000","+ Deposit ₹30,000",900 sqft,2 BHK ,"['2 Baths', 'East Facing']","This 2 bhk flat in lonkar nagar is available in harsha residency for rent, one of the most prominent projects for residential flats in pune. Property has attached 2 bathrooms & 2 balconies with 2 rooms set in 900 sq.Ft. Super built-Up area. This flat is constructed on 900 sq.Ft. Area. Parking available: 1 covered parking & 1 open parking. This flat lies on the 2nd floor of a 5 storey building. ...",Tulsi Properties 
41,Mantra Magnus,"2 BHK Flat for rent in Mundhwa, Pune","₹35,000","+ Deposit ₹70,000",820 sqft,2 BHK ,"['2 Baths', 'East Facing']",Urjunt available on 10 april family batchelor all not issue geted society,Finix Reality  
42,Sonigara Kesar,"2 BHK Flat for rent in Kaspate Vasti, Pune","₹30,000","+ Deposit ₹80,000","1,200 sqft",2 BHK ,"['2 Baths', 'East Facing']","It is semi furnished with kitchen trolley 2bhk flat with car parking available on rent for veg family. Flat is east west facing, society is having all modern ammenities. No electronic items included.",Metree Real Estate 
43,Mittal Petals,"2 BHK Flat for rent in Kaspate Vasti, Pune","₹30,000",+ Deposit ₹3,"1,500 sqft",2 BHK ,"['2 Baths', 'East Facing']","Mittal petals is one of pune's most sought after destination for residential flats and this 2 bhk flat for rent in kaspate vasti with 1500 sq.Ft., is your opportunity to be a part of this community. This flat consists of 2 bathrooms & 2 balconies in 1500 sq.Ft. Super built-Up area. Flat is constructed on 1500 sq.Ft. You get an additional space of pooja room. 1 covered parking available. Placed ...",Naik Properties
44,Nyati Elan,"2 BHK Flat for rent in Wagholi, Pune","₹22,000",+ Deposit 3 months rent,830 sqft,2 BHK ,"['2 Baths', 'Full Power Backup']","Find this 2 bhk apartment for rent in wagholi, pune. This 2 bhk apartment in nyati elan is situated in pune. This 2 bhk flat comes with 2 bathrooms set in 830 sq.Ft. Carpet usable area. This flat is constructed on 830 sq.Ft. Area. An independent others is available in this property. This flat lies on the 7th floor of a 12 storey building. Well maintained 1-5 years property. Semi-Furnished flat ...",GALAXY REALTORS 
45,Nanded Asawari,"3 BHK Flat for rent in Nanded, Pune","₹23,000","+ Deposit ₹60,000","1,358 sqft",3 BHK ,"['3 Baths', 'Full Power Backup']","Come home to a peaceful vicinity with this spacious apartment available for rent in nanded, pune. Located in a gated society, this property is situated in the prime location of nanded city asawari, offering a luxurious lifestyle.Spread across an area of 1353 square feet, this semi-Furnished apartment features 3 bedrooms and 3 bathrooms, providing ample space for a comfortable living. The apartm...",Delighted Deal 
46,Goodwill Fabian,"2 BHK Flat for rent in Lohegaon, Pune","₹30,000","+ Deposit ₹65,000",900 sqft,2 BHK ,"['2 Baths', 'East Facing']","Ready to move 2 bhk fully furnished flat available for rent in goodwill fabian dhanori. 
Best in location and locality.
It has all the amenities excluding swimming pool.
Close to viman nagar.
Call to visit.",V.S Properties 
47,Fortaleza Apartment,"3 BHK Flat for rent in Kalyani Nagar, Pune","₹50,000","+ Deposit ₹200,000","1,500 sqft",3 BHK ,"['3 Baths', 'East Facing']","Find this 3 bhk apartment for rent in kalyani nagar, pune. This 3 bhk apartment in fortaleza apartment is situated in pune. This flat consists of 3 bathrooms & 1 balcony build in 1490 sq.Ft. Super built-Up area. The flat is built on 1500 sq.Ft. Area. This property has store room as well. Ease of access to 1 covered parking within society. This flat is situated at 8th in a tower with 11 floors. ...",Propnex Realtors 
48,wellington mews apartment,"2 BHK Flat for rent in Koregaon Park, Pune","₹50,000","+ Deposit ₹300,000","1,150 sqft",2 BHK ,"['2 Baths', 'East Facing']","This 2 bhk flat in koregaon park is available in wellington mews apartment for rent, one of the most prominent projects for residential flats in pune. Property has attached 2 bathrooms & 1 balcony with 2 rooms set in 1000 sq.Ft. Super built-Up area. Flat is constructed on 1150 sq.Ft. You get an additional space of study room. 1 covered parking available. Placed on 4th of 8 floor in 10+ years ol...",Propnex Realtors 
49,Kumar Selena,"4 BHK Flat for rent in Baner, Pune",₹1.3 Lac,+ Deposit 4 months rent,"3,300 sqft",4 BHK ,"['East Facing', 'Air Conditioned']","A very spacious and skillfully designed 4 bhk apartment available for rent at very affordable price. The project is well equipped with all modern amenities like garden, clubhouse, swimming pool, gym, parking, cctv surveillance etc, having 24 x 7 security service to facilitate the needs of the resident. The exteriors welcome you to a world of your dreams. The elevation strikes a seamless harmony...",Property Plan It
50,Vision Ace,"2 BHK Flat for rent in Tathawade, Pune","₹25,000","+ Deposit ₹50,000","1,130 sqft",2 BHK ,"['2 Baths', 'Fresh Construction']","This 2 bhk flat in tathawade is available in vision ace for rent, one of the most prominent projects for residential flats in pune. This flat consists of 2 bathrooms & 1 balcony in 850 sq.Ft. Super built-Up area. The flat consists of 2 bedrooms, built on 1130 sq.Ft. Society provides 1 covered parking with this flat. The building has a total of 15 floors and this property is situated on 1st floo...",Prism Professional Services 
51,Shriram La Tierra,"2 BHK Flat for rent in Vishrantwadi, Pune","₹34,000","+ Deposit ₹90,000","1,150 sqft",2 BHK ,"['2 Baths', 'East Facing']","Its a spacious two bhk lavishly furnished flat for rent in la tierra society located at a very prime location of vishrantwadi near by vishrantwadi chowk just beside ambanagri society.. Its a spacious two bhk fully furnished flat for rent with modular kitchen cabinet's ,beds , wardrobes , tv, fridge, washing machine, dining table, sofa including all basic fixtures and fittings etc. There are two...",Maxgrow Properties 
52,Shriram La Tierra,"2 BHK Flat for rent in Vishrantwadi, Pune","₹35,000","+ Deposit ₹75,000","1,330 sqft",2 BHK ,"['2 Baths', 'East Facing']","Its a spacious two bhk lavishly furnished flat for rent in la tierra society located at a very prime location of vishrantwadi near by vishrantwadi chowk just beside ambanagri society.. Its a spacious two bhk fully furnished flat for rent with modular kitchen cabinet's ,beds , wardrobes , tv, fridge, washing machine, dining table, sofa including all basic fixtures and fittings etc. There are two...",Maxgrow Properties 
53,Nanded City,"2 BHK Flat for rent in Sinhgad Road, Pune","₹21,000",+ Deposit 3 months rent,920 sqft,2 BHK ,"['2 Baths', 'East Facing']","Nanded city is the most preferred destination for renting flats in sinhgad road, pune. A 2 bhk flat is now available for rent here. Don't miss to be a part of this community. The flat is close to school and close to market. This flat consists of 2 bathrooms & 1 balcony build in 850 sq.Ft. Super built-Up area. The flat is built on 920 sq.Ft. Area. This property has pooja room as well. Ease of ac...",BEST PROPERTIES
54,Kasturi Legacy,"4 BHK Flat for rent in Veerbhadra Nagar, Pune",₹1.4 Lac,+ Deposit 4 months rent,"2,700 sqft",4 BHK ,"['4 Baths', 'East Facing']","4 bhk + maids room in kasturi legacy available for immediate lease. The apartment is fully furnished and has 2 tv's, ac in all rooms, wardrobes, beds, fully fitted kitchen etc. The project has all amenities and close to balewadi high street. Rent is negotiable",Qubic Properties
55,Lunkad Goldcoast,"2 BHK Flat for rent in Clover Park, Pune","₹39,000",+ Deposit 3 months rent,"1,050 sqft",2 BHK ,"['2 Baths', 'Full Power Backup']","2 bhk flat available for rent in lunkad goldcoast, viman nagar for family only. Flat is semi-Furnished (2 beds, 2 double wardrobes, 2 geysers and modular kitchen.) available from 1st april. Flat has 1 balcony and covered car parking space.",DAMANIA PROPERTIES 
56,Kolte Patil Life Republic,"2 BHK Flat for rent in Hinjewadi, Pune","₹25,000",+ Deposit 3 months rent,"1,150 sqft",2 BHK ,"['2 Baths', 'North Facing']","A 2 bhk flat for rent in hinjewadi close to all basic civic amenities is available for just 25,000 in kolte patil life republic, pune. This flat consists of 2 bathrooms & 2 balconies in 1120 sq.Ft. Super built-Up area. The flat consists of 2 bedrooms, built on 1150 sq.Ft. A separate space for pooja room is available in this flat. Society provides 1 covered parking with this flat. The building h...",J.J.Properties 
57,Kolte Patil Life Republic,"2 BHK Flat for rent in Hinjewadi, Pune","₹23,005","+ Deposit ₹50,000",900 sqft,2 BHK ,"['2 Baths', 'North-East Facing']","2bhk flat available in r4 sector life republic marunji hinjewadi pune 
900 sqft flat available in r4",aarvi properties  
58,Nimani Alive Skypark,"2 BHK Flat for rent in Baner, Pune","₹35,000",+ Deposit 4 months rent,"1,060 sqft",2 BHK ,"['2 Baths', 'Fresh Construction']","Brand new 2 bhk apartment for rent at main baner road, with covered car parking available",Swastik Consultancy 
59,43 Privet Drive,"2 BHK Flat for rent in Balewadi, Pune","₹40,000","+ Deposit ₹200,000","1,227 sqft",2 BHK ,"['2 Baths', 'Gated Society']","Find this 2 bhk apartment for rent in balewadi, pune. This 2 bhk apartment in 43 privet drive is situated in pune. This 2 bhk flat comes with 2 bathrooms set in 1150 sq.Ft. Super built-Up usable area. The flat consists of 2 bedrooms, built on 1227 sq.Ft. Society provides 2 covered parking with this flat. The building has a total of 18 floors and this property is situated on 4th floor. Property ...",Venkatesh Enterprises 
