,name,location,rent,deposit,area,type,highlights,description,owner
20,Kolte Patil Margosa Heights,"2 BHK Flat for rent in NIBM, Pune","₹16,500","+ Deposit ₹50,000",785 sqft,2 BHK ,"['2 Baths', 'Gated Society']","Find this 2 bhk apartment for rent in nibm, pune. This 2 bhk apartment in kolte patil margosa heights is situated in pune. This flat consists of 2 bathrooms & 1 balcony build in 600 sq.Ft. Carpet area. This property is constructed on 785 sq.Ft. Extra space for others. You also get 1 covered parking inside the premises located on 5th of 13 floor. This is a ready to move property and it is 1-5 ye...",S G Properties  
21,Gera Foliage,"2 BHK Flat for rent in Mhada Colony, Pune","₹30,000",+ Deposit 3 months rent,"1,300 sqft",2 BHK ,"['2 Baths', 'North Facing']","3bhk semi furnished flat available on rent in gera foliage society viman nagar. A beautiful society offers a good flat for families. An open layout with building being, placed in a manner that there is no overlooking & most of the apartments enjoy the view of structured landscaping. The society is set amongst the best part of the city. The area is in which the property is situated having a lush...",Classic Enterprises 
22,Pride Purple Sapphire Park,"1 BHK Flat for rent in Wakad, Pune","₹24,000",+ Deposit 3 months rent,700 sqft,1 BHK ,"['2 Baths', 'East Facing']","Situated in wakad pune, pride purple sapphire park is a well planned, ready to move society that offers a pleasant living experience to its residents. This is a 1 bhk apartment now available for rent. This flat consists of 2 bathrooms & 1 balcony build in 700 sq.Ft. Carpet area. This flat is constructed on 700 sq.Ft. Area. Parking available: 1 covered parking & 1 open parking. This flat lies on...",Lotsm Properties 
23,on request,"1 BHK Flat for rent in Viman Nagar, Pune","₹18,000",+ Deposit 3 months rent,600 sqft,1 BHK ,"['1 Baths', 'Ramwadi Metro Station  Nearby']","1bhk unfurnished flat available on rent in viman nagar. No restrictions, no time limit from owner & society. A beautiful society offers a good flat for families, & bachelors. An open layout with building being, placed in a manner that there is no overlooking & most of the apartments enjoy the view of structured landscaping. The society is set amongst the best part of the city. The area is in wh...",Classic Enterprises 
24,Pride Platinum,"3 BHK Flat for rent in Baner, Pune","₹40,000","+ Deposit ₹120,000","1,620 sqft",3 BHK ,"['3 Baths', 'East Facing']",Good flat for family and bachelors call for best deal to sai associates,Property Guru 
25,chandhere complex,"1 BHK Flat for rent in Viman Nagar, Pune","₹20,000",+ Deposit 3 months rent,650 sqft,1 BHK ,"['1 Baths', 'Ramwadi Metro Station  Nearby']","1bhk unfurnished flat available on rent in viman nagar. No restrictions, no time limit from owner & society. A beautiful society offers a good flat for families, & bachelors. An open layout with building being, placed in a manner that there is no overlooking & most of the apartments enjoy the view of structured landscaping. The society is set amongst the best part of the city. The area is in wh...",Classic Enterprises 
26,On Request ,"1 BHK Flat for rent in Viman Nagar, Pune","₹19,000",+ Deposit 3 months rent,600 sqft,1 BHK ,"['1 Baths', 'North Facing']","1bhk unfurnished flat available on rent in viman nagar. No restrictions, no time limit from owner & society. A beautiful society offers a good flat for families, & bachelors. An open layout with building being, placed in a manner that there is no overlooking & most of the apartments enjoy the view of structured landscaping. The society is set amongst the best part of the city. The area is in wh...",Classic Enterprises 
27,VTP Celesta,"3 BHK Flat for rent in NIBM, Pune","₹35,000",+ Deposit 3 months rent,"1,152 sqft",3 BHK ,"['3 Baths', 'East Facing']","This lovely 3 bhk apartment for rent in nibm is available in one of pune's most popular projects, vtp celesta. This flat consists of 3 bathrooms & 2 balconies in 1152 sq.Ft. Carpet area. This property is constructed on 1152 sq.Ft. Extra space for pooja room. You also get 1 covered parking inside the premises located on 5th of 13 floor. This is a ready to move property and it is 1-5 years old fl...",Elite Estates 
28,On Request ,"1 BHK Flat for rent in Viman Nagar, Pune","₹17,000",+ Deposit 3 months rent,650 sqft,1 BHK ,"['1 Baths', 'Ramwadi Metro Station  Nearby']","1bhk unfurnished flat available on rent in viman nagar. No restrictions, no time limit from owner & society. A beautiful society offers a good flat for families, & bachelors. An open layout with building being, placed in a manner that there is no overlooking & most of the apartments enjoy the view of structured landscaping. The society is set amongst the best part of the city. The area is in wh...",Classic Enterprises 
29,Magarpatta City Iris,"2 BHK Flat for rent in Magarpatta, Pune","₹34,000",+ Deposit 2 months rent,930 sqft,2 BHK ,"['2 Baths', 'Gated Society']",This property its magarpatta city iris aprtment clos to dc near pentagon Additional details : Piped gas facility is available in the property. The apartment has borings water supply. Daily needs shopping could be done within the society premises to make the stay convinent. Full power backup is available. There is also a separate washroom for domestic help. The society has dedicated security gua...,Vinayak Property 
30,Magarpatta City Trillium,"2 BHK Flat for rent in Magarpatta, Pune","₹42,000",+ Deposit 3 months rent,"1,050 sqft",2 BHK ,"['2 Baths', 'Full Power Backup']","Flat available in a prime location with all amenities. Located just near to seasons mall and it companies, 2 to 3 well reputated schools, hospitals, banks, atm and many more which we need day to day life. 24hr electricity and full time water supply also there. Good looking infrastructure. Its 25minute distance from pune junction and 25m minute from pune airport. Contacts me :- Manoj kumar Addit...",Vinayak Property 
31,Chandrarang Serenity,"2 BHK Flat for rent in Wakad, Pune","₹23,200",+ Deposit 3 months rent,728 sqft,2 BHK ,"['2 Baths', 'North-East Facing']","A 2 bhk flat for rent in wakad close to all basic civic amenities is available for just 23,200 in chandrarang serenity, pune. This flat consists of 2 bathrooms & 1 balcony in 728 sq.Ft. Carpet area. This flat is constructed on 728 sq.Ft. Area. An independent others is available in this property. This flat lies on the 5th floor of a 11 storey building. Well maintained 1-5 years property. This is...",Dream Homes Real Estate Consultancy Services 
32,Magarpatta City Jasminium,"2 BHK Flat for rent in Magarpatta, Pune","₹34,999",+ Deposit 2 months rent,"1,208 sqft",2 BHK ,"['2 Baths', 'North Facing']",Explore this amicable magarpatta city jasminium of magarpatta in pune ! Live in a 2 bhk flat for rent in magarpatta spread over 1000 sq.Ft. Property has attached 2 bathrooms & 1 balcony with 2 rooms set in 1000 sq.Ft. Super built-Up area. Flat is constructed on 1208 sq.Ft. 1 covered parking available. 1 open parking available. Placed on 8th of 11 floor in 5-10 years old tower. This property is ...,Seva Real Estate 
33,Magarpatta City Iris,"2 BHK Flat for rent in Magarpatta, Pune","₹31,000",+ Deposit ₹3,930 sqft,2 BHK ,"['2 Baths', 'Destinestion center within 250m']",This is flat in beutiful flat and near by atm season mall and it cumpany Near by 6km airport Additional details : Piped gas facility is available in the property. The apartment has borings water supply. Daily needs shopping could be done within the society premises to make the stay convinent. Full power backup is available. There is also a separate washroom for domestic help. The society has de...,Vinayak Property 
34,Magarpatta City Jasminium,"2 BHK Flat for rent in Magarpatta, Pune","₹33,000",+ Deposit 2 months rent,"1,208 sqft",2 BHK ,"['3 Baths', 'Full Power Backup']","This property its near pentagon magarpatta city
 Additional details :",Vinayak Property 
35,Magarpatta City Trillium,"2 BHK Flat for rent in Magarpatta, Pune","₹40,000",+ Deposit 2 months rent,"1,100 sqft",2 BHK ,"['2 Baths', 'Private Garden']","A 2 bhk flat for rent in magarpatta close to all basic civic amenities is available for just 40,000 in magarpatta city trillium, pune. This flat consists of 2 bathrooms & 1 balcony in 950 sq.Ft. Super built-Up area. This flat is constructed on 1100 sq.Ft. Area. An independent study room, pooja room and store room is available in this property. This flat lies on the 3rd floor of a 12 storey buil...",Vinayak Property 
36,Magarpatta City Trillium,"2 BHK Flat for rent in Magarpatta, Pune","₹30,100","+ Deposit ₹70,000","1,050 sqft",2 BHK ,"['2 Baths', 'Full Power Backup']","A very good 2 bhk flat for rent in trillium apartment, hadapsar, pune. It is a superb property and offers an excellent view. The flat is semi furnished with multiple amenities and promises a comfortable stay. It is feng shui/vaastu compliant, which is considered to bring positive energy. Indeed, the society too has multiple facilities for enjoyment, such as fitness centre/gym, club house/commun...",Seva Real Estate 
37,Chandrarang Serenity,"2 BHK Flat for rent in Wakad, Pune","₹23,300",+ Deposit 3 months rent,510 sqft,2 BHK ,"['2 Baths', 'Full Power Backup']","Explore this amicable chandrarang serenity of wakad in pune ! Live in a 2 bhk flat for rent in wakad. This 2 bhk flat comes with 2 bathrooms set in 47 sq.M. Carpet usable area. Flat is constructed on 47 sq.M. 1 covered parking available. Placed on 4th of 11 floor in 1-5 years old tower. This is an unfurnished flat. The flat will be available from mon, 12 feb 2024 for families, single men and si...",Dream Homes Real Estate Consultancy Services 
38,Chandrarang Serenity,"2 BHK Flat for rent in Wakad, Pune","₹28,000",+ Deposit 3 months rent,700 sqft,2 BHK ,"['2 Baths', 'North-East Facing']","This lovely 2 bhk apartment for rent in wakad is available in one of pune's most popular projects, chandrarang serenity. This flat consists of 2 bathrooms & 1 balcony in 700 sq.Ft. Carpet area. Flat is constructed on 700 sq.Ft. You get an additional space of others. Placed on 10th of 11 floor in 1-5 years old tower. This is a semi-Furnished flat. Furnishing options provided - 1 curtains, 1 exha...",Dream Homes Real Estate Consultancy Services 
39,Chandrarang Serenity,"2 BHK Flat for rent in Wakad, Pune","₹23,400",+ Deposit 3 months rent,720 sqft,2 BHK ,"['2 Baths', 'Full Power Backup']","A spacious 2 bhk flat for rent is available in wakad in chandrarang serenity, pune. Property has attached 2 bathrooms & 1 balcony with 2 rooms set in 720 sq.Ft. Carpet area. This flat is constructed on 720 sq.Ft. Area. An independent others is available in this property. This flat lies on the 3rd floor of a 11 storey building. Well maintained 1-5 years property. This property is unfurnished. Th...",Dream Homes Real Estate Consultancy Services 
40,Shapoorji Joyville,"1 BHK Flat for rent in Hinjewadi, Pune","₹20,000",+ Deposit 3 months rent,668 sqft,1 BHK ,"['1 Baths', 'Private Garden']","Find this 1 bhk apartment for rent in hinjewadi, pune. This 1 bhk apartment in shapoorji joyville is situated in pune. This 1 bhk flat comes with 1 bathroom set in 616 sq.Ft. Super built-Up usable area. This flat is constructed on 668 sq.Ft. Area. This flat lies on the 8th floor of a 18 storey building. Well maintained 1-5 years property. This is a semi-Furnished flat. Already installed 8 light...",FUTURE BRICKS
41,Prem Mairah Residences,"2 BHK Flat for rent in Hinjewadi, Pune","₹25,000",+ Deposit 3 months rent,"1,050 sqft",2 BHK ,"['2 Baths', 'East Facing']","This 2 bhk flat in hinjewadi is available in prem mairah residences for rent, one of the most prominent projects for residential flats in pune. This 2 bhk flat comes with 2 bathrooms set in 969 sq.Ft. Super built-Up usable area. The flat is built on 1050 sq.Ft. Area. This property has store room as well. Ease of access to 1 covered parking within society. This flat is situated at 3rd in a tower...",FUTURE BRICKS
42,Peninsula Ashok Meadows,"2 BHK Flat for rent in Hinjewadi Phase 1, Pune","₹30,001",+ Deposit 3 months rent,"1,287 sqft",2 BHK ,"['2 Baths', 'East Facing']","This lovely 2 bhk apartment for rent in hinjewadi phase 1 is available in one of pune's most popular projects, peninsula ashok meadows. This 2 bhk flat comes with 2 bathrooms set in 1188 sq.Ft. Super built-Up usable area. This property is constructed on 1287 sq.Ft. Extra space for store room. You also get 1 covered parking inside the premises located on 4th of 11 floor. This is a ready to move ...",FUTURE BRICKS
43,Kolte Patil Ivy Nia,"2 BHK Flat for rent in Wagholi, Pune","₹25,000",+ Deposit 3 months rent,611 sqft,2 BHK ,"['2 Baths', 'Private Garden']","Situated in wagholi pune, kolte patil ivy nia is a well planned, ready to move society that offers a pleasant living experience to its residents. This is a 2 bhk apartment now available for rent. This 2 bhk flat comes with 2 bathrooms set in 611 sq.Ft. Carpet usable area. This property is constructed on 611 sq.Ft. Extra space for pooja room. You also get 1 covered parking inside the premises lo...",Rado Realty Pvt Ltd 
44,Ivy Botanica,"3 BHK Flat for rent in Wagholi, Pune","₹25,000",+ Deposit 3 months rent,"1,200 sqft",3 BHK ,"['3 Baths', 'Private Garden']","Situated in wagholi pune, ivy botanica is a well planned, ready to move society that offers a pleasant living experience to its residents. This is a 3 bhk apartment now available for rent. This flat consists of 3 bathrooms & 2 balconies build in 1200 sq.Ft. Carpet area. This flat is constructed on 1200 sq.Ft. Area. An independent pooja room is available in this property. This flat lies on the 7...",Rado Realty Pvt Ltd 
45,Amanora Metro Towers,"Studio Apartments / 1 RK Flats for rent in Hadapsar, Pune","₹20,000","+ Deposit ₹50,000",480 sqft,1 BHK ,"['1 Baths', 'Private Garden']","Fully furnished flat freeze washing machine bed wardrobe all facilities available in flat.
 Additional details :",swaraj  
46,Magarpatta City Zinnia,"1 BHK Flat for rent in Magarpatta, Pune","₹20,000","+ Deposit ₹40,000",590 sqft,1 BHK ,"['1 Baths', 'Private Garden']","Pune's most popular society magarpatta city zinnia in magarpatta offers 1 bhk apartment. This flat consists of 1 bathroom & 1 balcony in 540 sq.Ft. Super built-Up area. The flat consists of 1 bedroom, built on 590 sq.Ft. A separate space for pooja room, study room, servant room and others is available in this flat. Society provides 1 covered parking with this flat & the option for 1 open parkin...",swaraj  
47,Magarpatta City Sylvania,"2 BHK Flat for rent in Magarpatta, Pune","₹28,000","+ Deposit ₹75,000","1,250 sqft",2 BHK ,"['2 Baths', 'Private Garden']","Explore this amicable magarpatta city sylvania of magarpatta in pune ! Live in a 2 bhk flat for rent in magarpatta spread over 1200 sq.Ft. This 2 bhk flat comes with 2 bathrooms set in 1200 sq.Ft. Super built-Up usable area. This property is constructed on 1250 sq.Ft. Extra space for pooja room, study room, servant room and others. You also get 1 covered parking inside the premises located on 8...",swaraj  
48,Magarpatta City Iris,"2 BHK Flat for rent in Magarpatta, Pune","₹36,000","+ Deposit ₹100,000","1,000 sqft",2 BHK ,"['2 Baths', 'Private Garden']","A 2 bhk flat for rent in magarpatta close to all basic civic amenities is available for just 36,000 in magarpatta city iris, pune. Property has 950 sq.Ft. Super built-Up area with 2 bathrooms & 1 balcony attached. This flat is constructed on 1000 sq.Ft. Area. An independent pooja room, study room, servant room and others is available in this property. Parking available: 1 covered parking & 1 op...",swaraj  
49,Dharti Green,"1 BHK Flat for rent in Bhumkar Nagar, Pune","₹17,000","+ Deposit ₹40,000",702 sqft,1 BHK ,"['1 Baths', 'East Facing']","It is unfurnished 1 bhk flat available on rent for family immediately society is having all basic amenities the property is situated near decathalon, vision one mall, bhumkar chowk wakad. Additional details : Piped gas facility is available in the property. The apartment has borings water supply. Daily needs shopping could be done within the society premises to make the stay convinent. Full pow...",Metree Real Estate 
50,Shriram La Tierra,"2 BHK Flat for rent in Vishrantwadi, Pune","₹30,000",+ Deposit 3 months rent,"1,060 sqft",2 BHK ,"['2 Baths', 'East Facing']","A spacious 2 bhk flat for rent is available in vishrantwadi in shriram la tierra, pune. Property has attached 2 bathrooms & 2 balconies with 2 rooms set in 1000 sq.Ft. Super built-Up area. This property is constructed on 1060 sq.Ft. Extra space for others. Located on 8th of 12 floor. This is a ready to move property and it is 1-5 years old flat. This property is semi-Furnished. Equipped with 3 ...",Singh Estate 
51,Manas Green,"2 BHK Flat for rent in Baner, Pune","₹27,000",+ Deposit 3 months rent,660 sqft,2 BHK ,"['2 Baths', 'East Facing']","This lovely 2 bhk apartment for rent in baner is available in one of pune's most popular projects, manas green. This flat consists of 2 bathrooms & 2 balconies in 61 sq.M. Carpet area. The flat is built on 61 sq.M. Area. Ease of access to 1 covered parking within society. This flat is situated at 2nd in a tower with 6 floors. This is a 1-5 years old society. It is a semi-Furnished property. Inc...",Om sai real estate 
52,Fortune Uttam Townscapes Elite,"2 BHK Flat for rent in Maji Sainik Nagar, Pune","₹30,000",+ Deposit 3 months rent,"1,128 sqft",2 BHK ,"['2 Baths', 'Gated Society']","Situated in maji sainik nagar pune, fortune uttam townscapes elite is a well planned, ready to move society that offers a pleasant living experience to its residents. This is a 2 bhk apartment now available for rent. This 2 bhk flat comes with 2 bathrooms set in usable area. This flat is constructed on 1128 sq.Ft. Area. This flat lies on the 2nd floor of a 11 storey building. Well maintained 5-...",Singh Estate 
53,Uttam Township,"2 BHK Flat for rent in Vishrantwadi, Pune","₹30,000",+ Deposit 3 months rent,"1,100 sqft",2 BHK ,"['2 Baths', 'Gated Society']",Explore this amicable uttam township of vishrantwadi in pune ! Live in a 2 bhk flat for rent in vishrantwadi spread over 1050 sq.Ft. This 2 bhk flat comes with 2 bathrooms set in 1050 sq.Ft. Super built-Up usable area. Flat is constructed on 1100 sq.Ft. You get an additional space of others. 1 covered parking available. Placed on 3rd of 11 floor in 5-10 years old tower. Semi-Furnished flat with...,Singh Estate 
54,Kumar Megapolis,"2 BHK Flat for rent in Hinjewadi, Pune","₹22,000","+ Deposit ₹50,000","1,078 sqft",2 BHK ,"['2 Baths', 'Gated Society']","This lovely 2 bhk apartment for rent in hinjewadi is available in one of pune's most popular projects, kumar megapolis. Property has 825 sq.Ft. Carpet area with 2 bathrooms & 1 balcony attached. The flat is built on 1078 sq.Ft. Area. Ease of access to 1 covered parking within society. This flat is situated at 8th in a tower with 14 floors. This is a 1-5 years old society. This property is semi-...",Shree Realtors 
55,Bandal Orvi A B and C,"3 BHK Flat for rent in Balewadi, Pune","₹37,000","+ Deposit ₹120,000","1,600 sqft",3 BHK ,"['3 Baths', 'Private Garden']","A spacious 3bhk semi furnishad flat available for rent in, bhandari orvi balewadi nr,mitcon college,huge living and dining spacious bedrooms & bathroom. Vibrant society with active members across all generations with all festivals celebrated in grand manner. Very decent and peaceful location.Bungalow with all amenities, club gym, swimming pool children play area, & lots of more amenities nicely...",Home Finder Realty 
56,Magarpatta Heliconia,"1 BHK Flat for rent in Hadapsar, Pune","₹27,000","+ Deposit ₹81,000",650 sqft,1 BHK ,"['1 Baths', 'Full Power Backup']","This lovely 1 bhk apartment for rent in hadapsar is available in one of pune's most popular projects, magarpatta heliconia. This property offers access to nearby landmarks and is close to school, close to hospital and close to railway station. This flat consists of 1 bathroom & 1 balcony in 650 sq.Ft. Super built-Up area. This flat is constructed on 650 sq.Ft. Area. This flat lies on the 3rd fl...",Suman Properties 
