,name,location,rent,deposit,area,type,highlights,description,owner
14,Kolte Patil Ivy Apartments,"2 BHK Flat for rent in Wagholi, Pune","₹21,000","+ Deposit ₹60,000","1,190 sqft",2 BHK ,"['2 Baths', 'North-East Facing']","Ideal home for small family, very spacious, well lit and ventilated, aesthetically furnished 2bhk in best society of wagholi",Jivisha Services 
15,Duville Riverdale Heights,"3 BHK Flat for rent in Kharadi, Pune","₹57,000","+ Deposit ₹100,000","1,200 sqft",3 BHK ,"['East Facing', 'Air Conditioned']",3bhk flat for rent in kharadi good location kharadi,EMPIRE PROPERTY 
16,Gera World of Joy,"2 BHK Flat for rent in Kharadi, Pune","₹35,000","+ Deposit ₹70,000",732 sqft,2 BHK ,"['East Facing', 'Air Conditioned']",2bhk duplex in rent kharadi brand new socity,EMPIRE PROPERTY 
17,Mittal Sun Grandeur,"2 BHK Flat for rent in Patil Nagar, Pune","₹30,000","+ Deposit ₹100,000","1,390 sqft",2 BHK ,"['2 Baths', 'East Facing']","Mittal sun grandeur is one of pune's most sought after destination for residential flats and this 2 bhk flat for rent in patil nagar with 1390 sq.Ft., is your opportunity to be a part of this community. Property has 1390 sq.Ft. Super built-Up area with 2 bathrooms & 2 balconies attached. The flat is built on 1390 sq.Ft. Area. This property has others as well. Ease of access to 1 covered parking...",Pune Realty 
18,Vilas Javdekar Yashwin Orizzonte,"2 BHK Flat for rent in Kharadi, Pune","₹31,000",+ Deposit 3 months rent,930 sqft,2 BHK ,"['2 Baths', 'East Facing']","A 2 bhk flat for rent in kharadi close to all basic civic amenities is available for just 31,000 in vilas javdekar yashwin orizzonte, pune. Property has attached 2 bathrooms & 2 balconies with 2 rooms set in 930 sq.Ft. Super built-Up area. The flat is built on 930 sq.Ft. Area. Ease of access to 1 covered parking within society. This flat is situated at 20th in a tower with 22 floors. It is a se...",Realty Roof 
19,Kingston Aura,"2 BHK Flat for rent in Handewadi, Pune","₹22,500",+ Deposit 2 months rent,840 sqft,2 BHK ,"['2 Baths', 'East Facing']","Introducing a spacious and well-Maintained 2 bhk apartment available for rent in the desired locality of handewadi, pune. Situated in a gated society, this affordable apartment is perfect for families looking for a tranquil living experience.The apartment is part of the prestigious vedant kingston aura project and is located on the 9th floor, offering a beautiful garden view. With an area of 11...",Ozone Properties 
20,Sai Sundaram,"2 BHK Flat for rent in Kharadi, Pune","₹30,000","+ Deposit ₹65,000","1,067 sqft",2 BHK ,"['East Facing', 'Air Conditioned']","Find this 2 bhk apartment for rent in kharadi, pune. This 2 bhk apartment in sai sundaram is situated in pune. This property offers access to nearby landmarks and is close to hospital. This flat consists of 2 bathrooms & 2 balconies build in 980 sq.Ft. Super built-Up area. This flat is constructed on 1067 sq.Ft. Area. An independent study room is available in this property. This flat lies on th...",READY 2 MOVE
21,VJ 67 K Inclusive Housing,"1 BHK Flat for rent in Kharadi, Pune","₹25,000",+ Deposit 2 months rent,474 sqft,1 BHK ,"['East Facing', 'Full Power Backup']","A 1 bhk flat for rent in kharadi close to all basic civic amenities is available for just 25,000 in vj 67 k inclusive housing, pune. This flat consists of 1 bathroom & 1 balcony in 4409 sq.Ft. Carpet area. The flat is built on 4409 sq.Ft. Area. This flat is situated at 6th in a tower with 12 floors. This is a 0-1 year old society. This is a semi-Furnished flat. Furnishing options provided - 1 e...",READY 2 MOVE
22,Goel Ganga Constella,"2 BHK Flat for rent in Kharadi, Pune","₹33,000","+ Deposit ₹75,000","1,080 sqft",2 BHK ,"['East Facing', 'Close to School']","Situated in kharadi pune, goel ganga constella is a well planned, ready to move society that offers a pleasant living experience to its residents. This is a 1014 sq.Ft. Big 2 bhk apartment now available for rent. This property offers access to nearby landmarks and is close to school. This flat consists of 2 bathrooms & 2 balconies in 1014 sq.Ft. Super built-Up area. The flat consists of 2 bedro...",READY 2 MOVE
23,Bunglow,"5 Bedroom House for rent in Aundh, Pune",₹2.5 Lac,+ Deposit 6 months rent,"10,000 sqft",5 BHK ,"['7 Baths', 'East Facing']","Spacious bungalow available for rent in premium location, with modern amenities",One Stop solution  
24,Achalare Spring Gardens,"2 BHK Flat for rent in Moshi, Pune","₹20,000","+ Deposit ₹50,000",775 sqft,2 BHK ,"['2 Baths', 'East Facing']","Achalare spring gardens is the most preferred destination for renting flats in moshi, pune. A 2 bhk flat is now available for rent here. Don't miss to be a part of this community. Property has 775 sq.Ft. Carpet area with 2 bathrooms & 1 balcony attached. This flat is constructed on 775 sq.Ft. Area. This flat lies on the 9th floor of a 12 storey building. This is a semi-Furnished flat. Already i...",Sparsh Properties 
25,VTP Township Codename Blue Waters,"1 BHK Flat for rent in Mahalunge, Pune","₹17,000","+ Deposit ₹35,000",450 sqft,1 BHK ,"['1 Baths', 'East Facing']","This lovely 1 bhk apartment for rent in mahalunge is available in one of pune's most popular projects, vtp township codename blue waters. Property has attached 1 bathroom & 1 balcony with 1 room set in 450 sq.Ft. Carpet area. The flat is built on 450 sq.Ft. Area. Ease of access to 1 covered parking and 1 open parking within society. This flat is situated at 21st in a tower with 22 floors. This ...",Sparsh Properties 
26,Marvel Enigma,"3 BHK Flat for rent in Kharadi, Pune","₹64,000",+ Deposit 4 months rent,"2,200 sqft",3 BHK ,"['4 Baths', 'North Facing']","3 bhk with servant room. Fully furnished. Ultra-Luxury. Very spacious. & the best-In-Class facilities. One covered car parking. Prime location. Call for a site visit or more details. The magnificent marvel enigma that is smartly located in kharadi, pune is a well-Planned project. Spanning across 2 acres, the project is well-Spaced out. The project features a total of 101 units that are well-Ven...",PROPERTY SOLUTIONS 
27,RK Lunkad Aromatic Breeze,"1 BHK Flat for rent in Kala Khadak, Pune","₹22,000","+ Deposit ₹40,000",748 sqft,1 BHK ,"['1 Baths', 'Top Floor']","It is 1 bhk fully furnished flat available for family and working girls. It has lavish furniture with inverter, western and indian toilet too. It is close o ccd, bhumkar chowk, wakad. Additional details : Piped gas facility is available in the property. The apartment has borings water supply. Daily needs shopping could be done within the society premises to make the stay convinent. Full power b...",Metree Real Estate 
28,Kumar Primrose,"2 BHK Flat for rent in Eon Free Zone , Pune","₹36,000",+ Deposit ₹3,"1,000 sqft",2 BHK ,"['2 Baths', 'Air Conditioned']","This lovely 2 bhk apartment for rent in eon free zone is available in one of pune's most popular projects, kumar primrose. This 2 bhk flat comes with 2 bathrooms set in 1000 sq.Ft. Carpet usable area. This property is constructed on 1000 sq.Ft. Extra space for others. You also get 1 covered parking inside the premises located on top of 10 floor. This is a ready to move property and it is 1-5 ye...",PW Realty 
29,Godrej Infinity,"2 BHK Flat for rent in Keshav Nagar, Pune","₹28,000",,850 sqft,2 BHK ,"['2 Baths', 'East Facing']",Explore this amicable godrej infinity of keshav nagar in pune ! Live in a 2 bhk flat for rent in keshav nagar. This flat consists of 2 bathrooms & 2 balconies in 850 sq.Ft. Carpet area. This flat is constructed on 850 sq.Ft. Area. An independent others is available in this property. Parking available: 1 covered parking & 1 open parking. This flat lies on the 10th floor of a 24 storey building. ...,PW Realty 
30,Landmark Garden,"3 BHK Flat for rent in Kalyani Nagar, Pune","₹65,000",+ Deposit 3 months rent,"1,250 sqft",3 BHK ,"['3 Baths', 'East Facing']",Explore this amicable landmark garden of kalyani nagar in pune ! Live in a 3 bhk flat for rent in kalyani nagar. Property has 1250 sq.Ft. Carpet area with 3 bathrooms & 1 balcony attached. This flat is constructed on 1250 sq.Ft. Area. This flat lies on the 5th floor of a 11 storey building. Well maintained 10+ years property. It is an unfurnished property. Property will be leased for 11 months ...,HS Realtors 
31,Archana Kohinoor Glory,"2 BHK Flat for rent in Mohammed Wadi, Pune","₹25,000",+ Deposit 3 months rent,837 sqft,2 BHK ,"['2 Baths', 'Private Garden']",Rent: 25000,Foursides Property Management 
32,Karia Konark Campus,"2 BHK Flat for rent in Viman Nagar, Pune","₹45,000",+ Deposit 3 months rent,"1,250 sqft",2 BHK ,"['2 Baths', 'Top Floor']","Klassic homes realtors offers a 2 bhk flat for rent in viman nagar close to all basic civic amenities is available for just 45,000 in karia konark campus, pune. Additionally, this property is in vicinity to important points of interest and is close to school, close to hospital, close to airport and close to highway. Property has attached 2 bathrooms & 1 balcony with 2 rooms set in 1160 sq.Ft. S...",Klassic Homes 
33,Magarpatta Annex,"2 BHK Flat for rent in Magarpatta, Pune","₹29,000","+ Deposit ₹60,000",900 sqft,2 BHK ,"['2 Baths', 'North Facing']","This 2 bhk flat in magarpatta is available in magarpatta annex for rent, one of the most prominent projects for residential flats in pune. This flat consists of 2 bathrooms & 2 balconies in 850 sq.Ft. Super built-Up area. The flat consists of 2 bedrooms, built on 900 sq.Ft. A separate space for pooja room is available in this flat. The building has a total of 12 floors and this property is situ...",star properties 
34,The Reserve at Lodha Belmondo,1 BHK Flat for rent in Pune Mumbai Highway,"₹28,000",+ Deposit 5 months rent,684 sqft,1 BHK ,"['East Facing', 'Full Power Backup']","This lovely 1 bhk apartment for rent in pune mumbai highway is available in one of pune's most popular projects, the reserve at lodha belmondo. This flat consists of 1 bathroom & 1 balcony in 493 sq.Ft. Carpet area. This property is constructed on 684 sq.Ft. Located on 22nd of 39 floor. This is a ready to move property and it is 1-5 years old flat. It is a semi-Furnished property. Inclusive of ...",KushVin Consultants
35,Megapolis Springs,"2 BHK Flat for rent in Phase 3 Hinjewadi , Pune","₹24,000","+ Deposit ₹50,000",750 sqft,2 BHK ,"['2 Baths', 'Gated Society']",2 bhk semi furnished flat with covered car parking at hinjewadi phase 3,Prasad Realty 
36,Kolte Patil Life Republic,"2 BHK Flat for rent in Hinjewadi, Pune","₹21,000","+ Deposit ₹60,000","1,051 sqft",2 BHK ,"['East Facing', 'Close to School']","2 bhk residential apartment available, with an area of 800 sq. Ft., which is located in hinjewadi, pune. The property is vaastu compliant. 2 attached balconies with all the bedrooms. Comes with modern amenities such as wi-Fi internet, piped gas facility, air conditioning etc. 2 mins walk from nearest market and school. Very close to top mnc it company offices in hinjewadi. Amenities include sto...",WHITEINDIA PROPERTY 
37,Kolte Patil Life Republic,"1 BHK Flat for rent in Hinjewadi, Pune","₹17,000","+ Deposit ₹45,000",601 sqft,1 BHK ,"['East Facing', 'Close to School']","1 bhk comfortable flat with 1 attached bathroom located in hinjewadi phase i, pune. Well connected to baner, wakad and tathawade. 2 minutes walking distance from bus stop. Schools, star city mall and markets are located nearby. All major electricity and water supply connections are already installed.",WHITEINDIA PROPERTY 
38,Kolte Patil Life Republic,"2 BHK Flat for rent in Hinjewadi, Pune","₹23,000","+ Deposit ₹65,000","1,051 sqft",2 BHK ,"['East Facing', 'Close to School']","2 bhk residential apartment available, with an area of 800 sq. Ft., which is located in hinjewadi, pune. The property is vaastu compliant. 2 attached balconies with all the bedrooms. Comes with modern amenities such as wi-Fi internet, piped gas facility, air conditioning etc. 2 mins walk from nearest market and school. Very close to top mnc it company offices in hinjewadi. Amenities include sto...",WHITEINDIA PROPERTY 
39,Kolte Patil Life Republic,"1 BHK Flat for rent in Hinjewadi, Pune","₹16,000","+ Deposit ₹40,000",601 sqft,1 BHK ,"['East Facing', 'Close to School']","1 bhk comfortable flat with 1 attached bathroom located in hinjewadi phase i, pune. Well connected to baner, wakad and tathawade. 2 minutes walking distance from bus stop. Schools, star city mall and markets are located nearby. All major electricity and water supply connections are already installed.",WHITEINDIA PROPERTY 
40,Kolte Patil Life Republic,"3 BHK Flat for rent in Hinjewadi, Pune","₹28,000","+ Deposit ₹70,000","1,601 sqft",3 BHK ,"['Close to School', 'Gated Society']","An extravagant township of 400 acres is waiting for you to be a part of it. Kolte patil life republic is a township development consisting of a state of the art infrastructure more then 22 avenues. You can find exclusive villas, lakefront, premium and value residences of 1bhk, 2bhk and 3bhk. This township also offers commercial spaces that include business parks and commercial complexes, along ...",WHITEINDIA PROPERTY 
41,Kolte Patil Life Republic,"3 BHK Flat for rent in Hinjewadi, Pune","₹27,500","+ Deposit ₹65,000","1,601 sqft",3 BHK ,"['East Facing', 'Close to School']","An extravagant township of 400 acres is waiting for you to be a part of it. Kolte patil life republic is a township development consisting of a state of the art infrastructure more then 22 avenues. You can find exclusive villas, lakefront, premium and value residences of 1bhk, 2bhk and 3bhk. This township also offers commercial spaces that include business parks and commercial complexes, along ...",WHITEINDIA PROPERTY 
42,Kolte Patil Life Republic,"2 BHK Flat for rent in Hinjewadi, Pune","₹20,500","+ Deposit ₹50,000","5,805 sqft",2 BHK ,"['2 Baths', 'East Facing']",2bhk unfurnished flat available for rent in life republic kolte patil township marunji,Elite Properties 
43,Kolte Patil Life Republic,"2 BHK Flat for rent in Hinjewadi, Pune","₹20,000",+ Deposit 3 months rent,"63,722 sqft",2 BHK ,"['2 Baths', 'East Facing']","2bhk flat available for rent in life republic kolte patil township marunji.
It's available for family or bacholer.",Elite Properties 
44,Pebbles 2,"2 BHK Flat for rent in Bavdhan, Pune","₹27,000",+ Deposit 3 months rent,736 sqft,2 BHK ,"['2 Baths', 'East Facing']",It's a garden facing property with ample sunlight and ventilation.,Sahyadri Realties 
45,Kamalraj Datta Vihar,"3 BHK Flat for rent in MIDC Moshi, Pune","₹25,000","+ Deposit ₹50,000","1,250 sqft",3 BHK ,"['2 Baths', 'Fresh Construction']","This 3 bhk flat in midc moshi is available in kamalraj datta vihar for rent, one of the most prominent projects for residential flats in pune. This flat consists of 2 bathrooms & 2 balconies in 1250 sq.Ft. Carpet area. This flat is constructed on 1250 sq.Ft. Area. This flat lies on the 9th floor of a 14 storey building. Well maintained 0-1 year property. This is a semi-Furnished flat. Furnishin...",Sparsh Properties 
46,VTP Township Codename Blue Waters,"2 BHK Flat for rent in Mahalunge, Pune","₹26,000",+ Deposit 2 months rent,704 sqft,2 BHK ,"['2 Baths', 'East Facing']","Vtp township codename blue waters is the most preferred destination for renting flats in mahalunge, pune. A 2 bhk flat is now available for rent here. Don't miss to be a part of this community. This 2 bhk flat comes with 2 bathrooms set in 705 sq.Ft. Carpet usable area. Flat is constructed on 705 sq.Ft. 1 covered parking available. Placed on top of 22 floor in 0-1 year old tower. It is a semi-F...",Sparsh Properties 
47,VTP Township Codename Blue Waters,"1 BHK Flat for rent in Mahalunge, Pune","₹18,000","+ Deposit ₹45,000",467 sqft,1 BHK ,"['1 Baths', 'East Facing']","Pune's most popular society vtp township codename blue waters in mahalunge offers 1 bhk apartment. This flat consists of 1 bathroom & 2 balconies build in 467 sq.Ft. Carpet area. Flat is constructed on 467 sq.Ft. 1 covered parking available. Placed on 6th of 22 floor in 0-1 year old tower. This property is unfurnished. The flat will be available from fri, 20 oct 2023 for families, single men an...",Sparsh Properties 
48,Amorapolis,"3 BHK Flat for rent in Dhanori, Pune","₹28,000","+ Deposit ₹60,000","1,010 sqft",3 BHK ,"['3 Baths', 'North Facing']","This 3 bhk flat in dhanori is available in amorapolis for rent, one of the most prominent projects for residential flats in pune. Property has attached 3 bathrooms & 2 balconies with 3 rooms set in 1010 sq.Ft. Carpet area. Flat is constructed on 1010 sq.Ft. Placed on 3rd of 13 floor in 0-1 year old tower. This is a semi-Furnished flat. Furnishing options provided - 6 fan, 10 light, 1 modular ki...",Star Property Consultant  
49,Bramhacorp F Residences,"3 BHK Flat for rent in Kalyani Nagar, Pune","₹67,000",+ Deposit 3 months rent,"1,100 sqft",3 BHK ,"['3 Baths', 'East Facing']",Explore this amicable bramhacorp f residences of kalyani nagar in pune ! Live in a 3 bhk flat for rent in kalyani nagar. Property has attached 3 bathrooms & 2 balconies with 3 rooms set in 1100 sq.Ft. Carpet area. This flat is constructed on 1100 sq.Ft. Area. An independent study room is available in this property. This flat lies on the 11th floor of a 20 storey building. Well maintained 1-5 ye...,Sumegh Properties 
50,Marvel Zephyr,"3 BHK Flat for rent in Kharadi, Pune","₹60,000","+ Deposit ₹180,000","2,360 sqft",3 BHK ,"['4 Baths', 'East Facing']","Marvel zephyr in kharadi, pune is a ready-To-Move housing society. It offers apartments in varied budget range. These units are a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences. There are 2bhk, 3bhk and 4bhk apartments available in this project. Additional details : Piped gas facility is available in the property. The apartment has bor...",VASTU REAL ESTATE 
51,Kolte Cheryl,"2 BHK Flat for rent in Ashoka Nagar, Pune","₹32,000","+ Deposit ₹80,000","1,160 sqft",2 BHK ,"['2 Baths', 'Private Garden']","Cheryl 2 bhk flat for rent in ashoka nagar close to all basic civic amenities is available for just 32000 in kolte cheryl, pune. This flat consists of 2 bathrooms & 2 balconies build in 930 sq.Ft. Super built-Up area. This property is constructed on 1160 sq.Ft. Extra space for store room. You also get 1 covered parking inside the premises located on 5th of 11 floor. This is a ready to move prop...",Prop Laksh 
52,Victory Towers,"4 BHK Flat for rent in Hadapsar, Pune","₹55,000","+ Deposit ₹100,000","1,800 sqft",4 BHK ,"['4 Baths', 'East Facing']","This 4 bhk flat in hadapsar is available in victory towers for rent, one of the most prominent projects for residential flats in pune. This flat consists of 4 bathrooms & 3 balconies in 1800 sq.Ft. Super built-Up area. This flat is constructed on 1800 sq.Ft. Area. An independent store room, pooja room, study room and servant room is available in this property. Parking available: 1 covered parki...",Tulsi Properties 
53,Amanora Future Towers,"2 BHK Flat for rent in Hadapsar, Pune","₹40,000","+ Deposit ₹80,000","1,410 sqft",2 BHK ,"['2 Baths', 'East Facing']","A spacious 2 bhk flat for rent is available in hadapsar in amanora future towers, pune. Property has 1200 sq.Ft. Carpet area with 2 bathrooms & 3 balconies attached. The flat is built on 1410 sq.Ft. Area. Ease of access to 1 covered parking and 1 open parking within society. This flat is situated at 9th in a tower with 30 floors. This is a 1-5 years old society. This property is semi-Furnished....",Tulsi Properties 
54,Reelicon Felicia,"2 BHK Flat for rent in Pashan, Pune","₹35,000","+ Deposit ₹100,000",750 sqft,2 BHK ,"['2 Baths', 'East Facing']","Situated in pashan pune, reelicon felicia is a well planned, ready to move society that offers a pleasant living experience to its residents. This is a 2 bhk apartment now available for rent. This flat consists of 2 bathrooms & 1 balcony in 750 sq.Ft. Carpet area. Flat is constructed on 750 sq.Ft. 1 covered parking available. Placed on 10th of 12 floor in 5-10 years old tower. Furnished flat wi...",Surya Properties 
55,Border Roads Housing Society,"2 BHK Flat for rent in Dhanori, Pune","₹21,000","+ Deposit ₹50,000",782 sqft,2 BHK ,"['2 Baths', 'East Facing']",Semi furnished flat with all daily use item...,HomeCraft Real estate & Interior Design 
56,Pride World City,"2 BHK Serviced Apartment for rent in Lohegaon, Pune","₹22,000","+ Deposit ₹50,000",780 sqft,2 BHK ,"['East Facing', 'Close to School']","Luxurious 2 bhk flat on rent in pride world city lohegaon with all modern amenities 
24 hours water supply 
Shopping complex in society premises 
Gardens, playground , children play area etc in society amenities 
Kitchen cabinets, gas pipeline , gas hub , water purifier , fan, lights , curtain rods etc in flat 
Available for family and batchlors also",Pravin Kirdat 
57,Godrej Elements,"2 BHK Flat for rent in Hinjewadi, Pune","₹32,000",+ Deposit 3 months rent,"1,222 sqft",2 BHK ,"['2 Baths', 'East Facing']","Godrej elements is one of pune's most sought after destination for residential flats and this 2 bhk flat for rent in hinjewadi with 1128 sq.Ft., is your opportunity to be a part of this community. Property has 1128 sq.Ft. Super built-Up area with 2 bathrooms & 2 balconies attached. This flat is constructed on 1222 sq.Ft. Area. An independent store room is available in this property. This flat l...",FUTURE BRICKS
58,Kumbare Township,"3 Bedroom House for rent in Eklavya Colony, Pune","₹45,000","+ Deposit ₹150,000","1,500 sqft",3 BHK ,"['3 Baths', 'East Facing']","3bhk row house on rent at kothrud, ,bhujbal township , near eklavya college, nice location & locality. 24 hours water & elasticity.",Sai Real Estate Consultant 
59,Shree Nidhi Apartment,"3 BHK Flat for rent in Kothrud, Pune","₹29,000","+ Deposit ₹75,000","1,200 sqft",3 BHK ,"['2 Baths', 'Private Garden']","Shree nidhi apartment is one of pune's most sought after destination for residential flats and this 3 bhk flat for rent in kothrud with 1100 sq.Ft., is your opportunity to be a part of this community. Property has attached 2 bathrooms & 1 balcony with 3 rooms set in 1100 sq.Ft. Super built-Up area. The flat consists of 3 bedrooms, built on 1200 sq.Ft. A separate space for store room is availabl...",Sai Real Estate Consultant 
60,Nyati Elan,"2 BHK Flat for rent in Wagholi, Pune","₹27,000",+ Deposit 3 months rent,903 sqft,2 BHK ,"['2 Baths', 'East Facing']",Nyati elan 2 bhk 900 carpet carden fencing flat all amenity in project gym swimming pool flat in side pawer backup pipe gas,anil jadhav 
61,Nyati Elan,"2 BHK Flat for rent in Wagholi, Pune","₹19,000",+ Deposit 3 months rent,820 sqft,2 BHK ,"['2 Baths', 'North-East Facing']","Situated in wagholi pune, nyati elan is a well planned, ready to move society that offers a pleasant living experience to its residents. This is a 780 sq.Ft. Big 2 bhk apartment now available for rent. This 2 bhk flat comes with 2 bathrooms set in 780 sq.Ft. Super built-Up usable area. This property is constructed on 820 sq.Ft. Extra space for others. Located on 7th of 12 floor. This is a ready...",anil jadhav 
62,Sancheti Mount n Glory,"2 BHK Flat for rent in Tulaja Bhawani Nagar, Pune","₹38,000","+ Deposit ₹100,000",950 sqft,2 BHK ,"['2 Baths', 'East Facing']","This lovely 2 bhk apartment for rent in tulaja bhawani nagar is available in one of pune's most popular projects, sancheti mount n glory. Additionally, this property is in vicinity to important points of interest and is close to school, close to market, close to highway and close to hospital. This 2 bhk flat comes with 2 bathrooms set in 945 sq.Ft. Super built-Up usable area. Flat is constructe...",Vighnaharta Properties
63,Amanora Gold Towers,"2 BHK Flat for rent in Hadapsar, Pune","₹31,000",+ Deposit 3 months rent,"1,070 sqft",2 BHK ,"['2 Baths', 'Full Power Backup']","Pune's most popular society amanora gold towers in hadapsar offers 2 bhk apartment. This flat consists of 2 bathrooms & 2 balconies in 1050 sq.Ft. Super built-Up area. The flat consists of 2 bedrooms, built on 1070 sq.Ft. A separate space for store room is available in this flat. Society provides 1 covered parking with this flat. The building has a total of 33 floors and this property is situat...",Vighnaharta Properties
