,name,location,rent,deposit,area,type,highlights,description,owner
10,Vascon Citron Phase 1," Wagholi, Pune","₹19,000","+ Deposit ₹40,000","1,205 sqft",2 BHK ,"['North-East Facing', 'Private Garden']","This lovely 2 bhk apartment for rent in wagholi is available in one of pune's most popular projects, vascon citron phase 1. This flat consists of 2 bathrooms & 2 balconies build in 1200 sq.Ft. Super built-Up area. The flat consists of 2 bedrooms, built on 1205 sq.Ft. A separate space for others is available in this flat. Society provides 1 covered parking with this flat. The building has a tota...",Neuron Realty 
11,Vascon Citron Phase 1," Wagholi, Pune","₹19,000",+ Deposit 2 months rent,"1,205 sqft",2 BHK ,"['East Facing', 'Close to School']",2bhk 850carpet with modular kitchen.. Closed to kharat it park.. All a category schools near by.. Road touch property 24/7 public transport available,Neuron Realty 
12,BA Vermont," Wagholi, Pune","₹29,000",+ Deposit 3 months rent,"1,044 sqft",2 BHK ,"['East Facing', 'Private Garden']","A spacious *2 bhk fully furnished flat* (With additional dinning space) available on rent @ *b.A. Vermont society (E wing), baif road road, wagholi* pune. **available only for family** **complete furnished flat** Available for rent from 5th mar 2024 Suitable for family, a 2 bhk fully furnished spacious with additional dinning space flat (Total area-1000sqft & carpet- 750sqft) with reserved tand...",Neuron Realty 
13,Harmony co-operative housing society," Bhoslenagar, Pune","₹60,000",+ Deposit 6 months rent,"1,200 sqft",3 BHK ,"['Close to Metro Station', 'Close to School']",The property is owned by m/s steel authority of india ltd. A public sector undertaking. Is available for central/state goverment/psu/bank employees on company lease basis. Total of 6flats available in same society at various floors. Rent mentioned is per flat. Terms and conditions shall be as per m/s sail.,Owner 
14,Kolte Patil Ivy Apartments," Wagholi, Pune","₹21,000","+ Deposit ₹60,000","1,190 sqft",2 BHK ,"['2 Baths', 'North-East Facing']","Ideal home for small family, very spacious, well lit and ventilated, aesthetically furnished 2bhk in best society of wagholi",Jivisha Services 
15,Duville Riverdale Heights," Kharadi, Pune","₹57,000","+ Deposit ₹100,000","1,200 sqft",3 BHK ,"['East Facing', 'Air Conditioned']",3bhk flat for rent in kharadi good location kharadi,EMPIRE PROPERTY 
16,Gera World of Joy," Kharadi, Pune","₹35,000","+ Deposit ₹70,000",732 sqft,2 BHK ,"['East Facing', 'Air Conditioned']",2bhk duplex in rent kharadi brand new socity,EMPIRE PROPERTY 
17,Mittal Sun Grandeur," Patil Nagar, Pune","₹30,000","+ Deposit ₹100,000","1,390 sqft",2 BHK ,"['2 Baths', 'East Facing']","Mittal sun grandeur is one of pune's most sought after destination for residential flats and this 2 bhk flat for rent in patil nagar with 1390 sq.Ft., is your opportunity to be a part of this community. Property has 1390 sq.Ft. Super built-Up area with 2 bathrooms & 2 balconies attached. The flat is built on 1390 sq.Ft. Area. This property has others as well. Ease of access to 1 covered parking...",Pune Realty 
18,Vilas Javdekar Yashwin Orizzonte," Kharadi, Pune","₹31,000",+ Deposit 3 months rent,930 sqft,2 BHK ,"['2 Baths', 'East Facing']","A 2 bhk flat for rent in kharadi close to all basic civic amenities is available for just 31,000 in vilas javdekar yashwin orizzonte, pune. Property has attached 2 bathrooms & 2 balconies with 2 rooms set in 930 sq.Ft. Super built-Up area. The flat is built on 930 sq.Ft. Area. Ease of access to 1 covered parking within society. This flat is situated at 20th in a tower with 22 floors. It is a se...",Realty Roof 
19,VTP Township Codename Blue Waters," Mahalunge, Pune","₹23,000","+ Deposit ₹60,000",911 sqft,2 BHK ,"['East Facing', 'Full Power Backup']",2bhk unfurnished flat available in vtp belair.,Elite Properties 
20,Kingston Aura," Handewadi, Pune","₹22,500",+ Deposit 2 months rent,840 sqft,2 BHK ,"['2 Baths', 'East Facing']","Introducing a spacious and well-Maintained 2 bhk apartment available for rent in the desired locality of handewadi, pune. Situated in a gated society, this affordable apartment is perfect for families looking for a tranquil living experience.The apartment is part of the prestigious vedant kingston aura project and is located on the 9th floor, offering a beautiful garden view. With an area of 11...",Ozone Properties 
21,Sai Sundaram," Kharadi, Pune","₹30,000","+ Deposit ₹65,000","1,067 sqft",2 BHK ,"['East Facing', 'Air Conditioned']","Find this 2 bhk apartment for rent in kharadi, pune. This 2 bhk apartment in sai sundaram is situated in pune. This property offers access to nearby landmarks and is close to hospital. This flat consists of 2 bathrooms & 2 balconies build in 980 sq.Ft. Super built-Up area. This flat is constructed on 1067 sq.Ft. Area. An independent study room is available in this property. This flat lies on th...",READY 2 MOVE
22,VJ 67 K Inclusive Housing," Kharadi, Pune","₹25,000",+ Deposit 2 months rent,474 sqft,1 BHK ,"['East Facing', 'Full Power Backup']","A 1 bhk flat for rent in kharadi close to all basic civic amenities is available for just 25,000 in vj 67 k inclusive housing, pune. This flat consists of 1 bathroom & 1 balcony in 4409 sq.Ft. Carpet area. The flat is built on 4409 sq.Ft. Area. This flat is situated at 6th in a tower with 12 floors. This is a 0-1 year old society. This is a semi-Furnished flat. Furnishing options provided - 1 e...",READY 2 MOVE
23,daffodils apartment," Wadgaon Sheri, Pune","₹18,000",+ Deposit 2 months rent,580 sqft,1 BHK ,"['East Facing', 'Full Power Backup']",Explore this amicable daffodils apartment of wadgaon sheri in pune ! Live in a 1 bhk flat for rent in wadgaon sheri. This 1 bhk flat comes with 1 bathroom set in 580 sq.Ft. Carpet usable area. This property is constructed on 580 sq.Ft. You also get 1 covered parking inside the premises located on 2nd of 6 floor. This is a ready to move property and it is 0-1 year old flat. This is a semi-Furnis...,READY 2 MOVE
24,Goel Ganga Constella," Kharadi, Pune","₹33,000","+ Deposit ₹75,000","1,080 sqft",2 BHK ,"['East Facing', 'Close to School']","Situated in kharadi pune, goel ganga constella is a well planned, ready to move society that offers a pleasant living experience to its residents. This is a 1014 sq.Ft. Big 2 bhk apartment now available for rent. This property offers access to nearby landmarks and is close to school. This flat consists of 2 bathrooms & 2 balconies in 1014 sq.Ft. Super built-Up area. The flat consists of 2 bedro...",READY 2 MOVE
25,Bunglow," Aundh, Pune",₹2.5 Lac,+ Deposit 6 months rent,"10,000 sqft",5 BHK ,"['7 Baths', 'East Facing']","Spacious bungalow available for rent in premium location, with modern amenities",One Stop solution  
26,Achalare Spring Gardens," Moshi, Pune","₹20,000","+ Deposit ₹50,000",775 sqft,2 BHK ,"['2 Baths', 'East Facing']","Achalare spring gardens is the most preferred destination for renting flats in moshi, pune. A 2 bhk flat is now available for rent here. Don't miss to be a part of this community. Property has 775 sq.Ft. Carpet area with 2 bathrooms & 1 balcony attached. This flat is constructed on 775 sq.Ft. Area. This flat lies on the 9th floor of a 12 storey building. This is a semi-Furnished flat. Already i...",Sparsh Properties 
27,VTP Township Codename Blue Waters," Mahalunge, Pune","₹17,000","+ Deposit ₹35,000",450 sqft,1 BHK ,"['1 Baths', 'East Facing']","This lovely 1 bhk apartment for rent in mahalunge is available in one of pune's most popular projects, vtp township codename blue waters. Property has attached 1 bathroom & 1 balcony with 1 room set in 450 sq.Ft. Carpet area. The flat is built on 450 sq.Ft. Area. Ease of access to 1 covered parking and 1 open parking within society. This flat is situated at 21st in a tower with 22 floors. This ...",Sparsh Properties 
28,RK Lunkad Aromatic Breeze," Kala Khadak, Pune","₹22,000","+ Deposit ₹40,000",748 sqft,1 BHK ,"['1 Baths', 'Top Floor']","It is 1 bhk fully furnished flat available for family and working girls. It has lavish furniture with inverter, western and indian toilet too. It is close o ccd, bhumkar chowk, wakad. Additional details : Piped gas facility is available in the property. The apartment has borings water supply. Daily needs shopping could be done within the society premises to make the stay convinent. Full power b...",Metree Real Estate
29,Kumar Primrose," Eon Free Zone , Pune","₹36,000",+ Deposit ₹3,"1,000 sqft",2 BHK ,"['2 Baths', 'Air Conditioned']","This lovely 2 bhk apartment for rent in eon free zone is available in one of pune's most popular projects, kumar primrose. This 2 bhk flat comes with 2 bathrooms set in 1000 sq.Ft. Carpet usable area. This property is constructed on 1000 sq.Ft. Extra space for others. You also get 1 covered parking inside the premises located on top of 10 floor. This is a ready to move property and it is 1-5 ye...",PW Realty 
30,Godrej Infinity," Keshav Nagar, Pune","₹28,000",,850 sqft,2 BHK ,"['2 Baths', 'East Facing']",Explore this amicable godrej infinity of keshav nagar in pune ! Live in a 2 bhk flat for rent in keshav nagar. This flat consists of 2 bathrooms & 2 balconies in 850 sq.Ft. Carpet area. This flat is constructed on 850 sq.Ft. Area. An independent others is available in this property. Parking available: 1 covered parking & 1 open parking. This flat lies on the 10th floor of a 24 storey building. ...,PW Realty 
31,Gera World of Joy," Kharadi, Pune","₹30,500",,900 sqft,2 BHK ,"['2 Baths', 'Private Garden']","A spacious 2 bhk flat for rent is available in kharadi in gera world of joy, pune. Property has 900 sq.Ft. Carpet area with 2 bathrooms & 2 balconies attached. This flat is constructed on 900 sq.Ft. Area. An independent others is available in this property. This flat lies on the 5th floor of a 14 storey building. Well maintained 1-5 years property. This is a semi-Furnished flat. Already install...",PW Realty 
32,R Euphoria," Kondhwa, Pune","₹25,000","+ Deposit ₹75,000","1,075 sqft",2 BHK ,"['2 Baths', 'Full Power Backup']","2bhk fully furnished apartment in township with,
Sofa set
Dinning table
Fully equipped modular kitchen with gas connection and stove
Front load washing machine
Fridge
Double bed
Attached wardrobe 
Geyser
Solar system
Covered balcony
24 hrs corporation water
24 hrs full back up
All basic amenities with children play area and much more",Foursides Property Management 
33,Archana Kohinoor Glory," Mohammed Wadi, Pune","₹25,000",+ Deposit 3 months rent,837 sqft,2 BHK ,"['2 Baths', 'Private Garden']",Rent: 25000,Foursides Property Management 
34,Karia Konark Campus," Viman Nagar, Pune","₹45,000",+ Deposit 3 months rent,"1,250 sqft",2 BHK ,"['2 Baths', 'Top Floor']","Klassic homes realtors offers a 2 bhk flat for rent in viman nagar close to all basic civic amenities is available for just 45,000 in karia konark campus, pune. Additionally, this property is in vicinity to important points of interest and is close to school, close to hospital, close to airport and close to highway. Property has attached 2 bathrooms & 1 balcony with 2 rooms set in 1160 sq.Ft. S...",Klassic Homes 
35,Magarpatta Annex," Magarpatta, Pune","₹29,000","+ Deposit ₹60,000",900 sqft,2 BHK ,"['2 Baths', 'North Facing']","This 2 bhk flat in magarpatta is available in magarpatta annex for rent, one of the most prominent projects for residential flats in pune. This flat consists of 2 bathrooms & 2 balconies in 850 sq.Ft. Super built-Up area. The flat consists of 2 bedrooms, built on 900 sq.Ft. A separate space for pooja room is available in this flat. The building has a total of 12 floors and this property is situ...",star properties 
36,The Reserve at Lodha Belmondo, Pune Mumbai Highway,"₹28,000",+ Deposit 5 months rent,684 sqft,1 BHK ,"['East Facing', 'Full Power Backup']","This lovely 1 bhk apartment for rent in pune mumbai highway is available in one of pune's most popular projects, the reserve at lodha belmondo. This flat consists of 1 bathroom & 1 balcony in 493 sq.Ft. Carpet area. This property is constructed on 684 sq.Ft. Located on 22nd of 39 floor. This is a ready to move property and it is 1-5 years old flat. It is a semi-Furnished property. Inclusive of ...",KushVin Consultants
